"Location","DateDeploy","DateCollect","SSPCB13C.3","SSPCB13C.15","SSPCB13C.28","SSPCB13C.52","SSPCB13C.118","SSPCB13C.153","SSPCB13C.180","SSPCB13C.194","SSPCB13C.208","SSPCB13C.209","SSPCB14","SSPCBd65","SSPCB166","PCB1","PCB2","PCB3","PCB4","PCB5","PCB6","PCB7","PCB8","PCB9","PCB10","PCB11","PCB12.13","PCB14","PCB15","PCB16","PCB17","PCB18.30","PCB19","PCB20.28","PCB21.33","PCB22","PCB23","PCB24","PCB25","PCB26.29","PCB27","PCB31","PCB32","PCB34","PCB35","PCB36","PCB37","PCB38","PCB39","PCB40.71","PCB41","PCB42","PCB43","PCB44.47.65","PCB45","PCB46","PCB48","PCB49.69","PCB50.53","PCB51","PCB52","PCB54","PCB55","PCB56","PCB57","PCB58","PCB59.62.75","PCB60","PCB61.70.74.76","PCB63","PCB64","PCB66","PCB67","PCB68","PCB72","PCB73","PCB77","PCB78","PCB79","PCB80","PCB81","PCB82","PCB83","PCB84","PCB85.116","PCB86.97.109.119","PCB87.125","PCB88","PCB89","PCB90.101.113","PCB91","PCB92","PCB93.100","PCB94","PCB95","PCB96","PCB98","PCB99","PCB102","PCB103","PCB104","PCB105","PCB106","PCB107","PCB108.124","PCB110","PCB111","PCB112","PCB114","PCB115","PCB117","PCB118","PCB120","PCB121","PCB122","PCB123","PCB126","PCB127","PCB128.166","PCB129.138.163","PCB130","PCB131","PCB132","PCB133","PCB134","PCB135.151","PCB136","PCB137","PCB139.140","PCB141","PCB142","PCB143","PCB144","PCB145","PCB146","PCB147.149","PCB148","PCB150","PCB152","PCB153.168","PCB154","PCB155","PCB156.157","PCB158","PCB159","PCB160","PCB161","PCB162","PCB164","PCB165","PCB167","PCB169","PCB170","PCB171.173","PCB172","PCB174","PCB175","PCB176","PCB177","PCB178","PCB179","PCB180.193","PCB181","PCB182","PCB183","PCB184","PCB185","PCB186","PCB187","PCB188","PCB189","PCB190","PCB191","PCB192","PCB194","PCB195","PCB196","PCB197","PCB198.199","PCB200","PCB201","PCB202","PCB203","PCB205","PCB206","PCB207","PCB208","PCB209"
"OUT",2012-02-17,2012-05-24,0.897269629489964,1.22992518415868,1.03710725040717,0.928834616784969,1.03592022586254,0.948337418687976,0.971705449805153,0.922779348025592,0.897654394094223,0.894992069855825,0,0,0,0.177022281435526,0.126727573603161,3.39799006641549,1.61439396754734,0.080126378913886,0.543022694778032,0.122664203086119,2.39360961635471,0.161665075304567,0.0712470912038585,3.21601080216969,0.347968807827376,0.200462979486368,0.724098895837052,1.60935389596294,1.52473323753958,3.76182194076964,0.505052640438844,3.36069905158731,1.88198922340256,1.19191316225184,NA,0.0758288625357808,0.278028401385744,0.560538434318963,0.244487631072389,2.93002064480917,1.01496480040644,0.0214741471522436,0.0756759403357958,NA,0.41447652537088,NA,NA,1.02195270291431,0.24281685117423,0.635282478511998,0.192701977305554,2.56372653122502,0.52397459370459,0.238917874797958,0.593693276355449,1.65492604969202,0.603225695108211,0.230983570746359,3.82941906431975,0.011406558998332,NA,0.466743874478838,0.0117678576848939,NA,0.236101567567589,0.3073277771938,2.18118193921397,0.0566510584983219,1.15004981964786,1.01205411831199,0.0562605077786977,0.0179208481864842,0.0191433685570769,NA,NA,NA,NA,NA,NA,0.228247124951595,0.0550278369948226,0.65289725158833,0.251553186084834,0.436270810686513,0.772788739826156,NA,0.0331559179708023,2.51399043614491,0.339045619925274,0.384837882959864,0.038328934767015,0.0118302673645794,2.55723747206959,0.0265976854071502,NA,0.765120588542954,0.093522208426637,0.0155111081474852,NA,0.303052632588691,NA,0.0703091153174554,0.045272826806832,1.85634547844874,NA,0.0163371253674606,NA,NA,NA,0.924217637921076,NA,0,NA,0.0267643759785835,NA,0,0.221507626368402,2.31525819481055,0.0953649176023561,0.01924036263063,0.896383507313366,0.0236872838669791,0.267522434617929,1.62938058148064,0.723504561347639,0.0860720429403252,0.0459566645221394,0.589244646718536,NA,NA,0.222314022255071,NA,0.333216361391347,3.31220046136948,0,0,0,2.33899733986825,0.0541990134985543,NA,0.0874226099234321,0.207402423725738,0.00116453843930018,NA,0,NA,0.120384992945255,NA,0.0270088222978374,NA,0.270257748282934,0.148839175989584,0.0850027830373483,0.50952566085675,0.0266812519712273,0.136605610343777,0.302936058500585,0.159303381128001,0.576900983093238,0.919609446881561,NA,0,0.420877123692718,0,0.0677981781534014,NA,1.08588460479595,0,NA,0.0642205453969435,0.0310086810271302,NA,0.149261847633676,0.0517940752599377,0.11586560410044,0.0661493482246949,0.33327866109578,0.0844113398845028,0.0819660788290793,0.13856450842606,0.193653989546164,NA,0.125269944307963,0.0235426163140286,0.0496290021047493,0.115334704137686
"IN",2012-02-17,2012-05-24,0.767652761491026,1.48195855688621,1.08579290615811,0.969413752170283,1.19099585019075,1.02486544180188,1.03156511407156,0.979734811407833,0.929837159591886,0.9057224936901,0,0,0,4.76988399137814,1.44232101192699,8.35654567954115,12.8392494417792,0.594134363775509,4.66076741357282,1.13968797659732,19.455681891263,1.87953606662503,0.500749264737535,28.4459518695334,1.36830027302662,0.419464357465407,3.12920759616344,6.5852329529015,6.93627931666529,16.0893766279588,1.90185168499492,11.8618511805654,7.17827307254853,3.85604388029741,NA,0.207357506696581,0.868941844974562,2.05065049808665,0.873869057109944,12.4090775372074,3.62572434726752,0.102728079957494,0.231354659910617,NA,1.00680872323868,NA,NA,1.87972376217471,0.622031060142783,1.22760303399276,0.287741015714076,9.04039558487898,1.04230917220743,0.442341377861687,1.474172433154,4.05794805756731,1.30942075675434,1.51953996229051,11.4550989939715,0.0230924099277076,NA,1.06918587972087,NA,NA,0.415310375391119,0.674728621117833,6.49665697018273,0.112483871182306,2.26785309659337,2.58436687500004,0.116395145355729,0.399629608824798,0.0220802853480874,NA,0.108670926904981,NA,NA,NA,NA,0.567443909341445,0.296732035867503,1.90295256043574,0.589223473617387,1.37045874850249,2.29917648264366,0,0.0683305141966239,6.9375878188115,0.966813790866142,1.16493938849533,0.0825591560289952,0.0339982633431793,6.92014705528492,0.0677271181044671,NA,2.37468617879765,0.235380047485207,0.124748949703763,0.0113986485425337,0.79924869943866,NA,0.161547457336952,0.150577414956704,4.9641497469596,NA,NA,0.0935467197704287,NA,0.131458177366501,2.64713147237882,NA,0.037433594087904,NA,NA,NA,NA,0.299628092423471,2.8723652689711,0.188424678319988,0.0511508123651012,1.51572457740151,0.0382916045560252,0.340625036114057,1.88368732397306,1.04758382625655,0.161692478636404,0.0882367947746868,0.592823815152844,NA,0.00171603767026927,0.313244553972551,0,0.378573192627611,4.16592742051985,0,0.0108050403853732,0.000384058738979836,2.57703188121335,0.0348855817361636,0.145374242287717,0.105706423014551,0.286984021442017,NA,0,0,0.00105126355988688,0.157442009974741,0,0.0548883125425917,NA,0.162563937240192,0.103490217334109,0.0399763159270871,0.259369894193491,0.0262884735176075,0.0721002841135222,0.182531050881079,0.046588452891429,0.356318743901449,0.350273587024576,NA,NA,0.219379252925174,0.0707584479366755,0.0567178298589778,0,0.48854397537061,0,NA,0.0332409642457838,NA,NA,NA,0,0.0231046285472878,0,0.0476135358358005,NA,0.0227881635835371,0.0384786589415169,0.0445569060230126,NA,NA,NA,0.00757481128305335,0.0717382998909831
"IN",2012-01-31,2012-04-13,0.73645751919256,1.18489579508611,0.949491846782645,0.933357248392891,1.03054615799377,0.965465512501249,0.988351100279657,0.955466799707554,0.905735042312977,0.894781336364577,0,0,0,0.515762175648028,0.16771481232316,1.36657215171393,1.75673857976815,0.0846769647039074,0.682577802738998,0.147669726406371,2.62893673313337,0.179044048458737,0.0714465142978849,8.08457421322285,0.365578273525017,0.0119340575032544,0.714467449123175,1.44915544055583,1.40272135596569,3.50584507904439,0.366030957576028,3.11872747153989,1.8763695591765,1.04857598743245,NA,0.0553256242466777,0.215809310368804,0.491450200929128,0.198284218875529,3.25210281762143,0.911863928005869,NA,NA,NA,0.362934075882912,NA,NA,1.06314219019078,0.311959272826788,0.661285911740273,0.207417183682091,2.95662746683536,0.607460899345062,0.236559229614926,0.670213097143629,1.97788710042054,0.587862663919184,0.149765570442043,5.00349558773081,0.00831367738445792,NA,0.679292069047783,0,0,0.232742080544361,0.435188382913928,3.3451495016917,0.0581499899559729,1.21701476752993,1.47275537583295,0.0329889054843609,NA,0,NA,NA,NA,NA,NA,NA,0.26625695851639,NA,0.674565596383541,0.244517502764543,0.407882693669209,0.789371342947698,0,0.0345592486648232,2.00623283596862,0.376054722565667,0.356483966387556,0.0384929349892764,0.00987154379788371,2.37829224858696,0.033248791542925,NA,0.85704976212785,0.110002465516763,0.0133964240048949,NA,0.252940558693189,NA,0.044648841616082,0.0350972421036754,1.46246691216409,NA,NA,NA,NA,0.0483881671089807,0.707814805910979,NA,NA,NA,NA,NA,NA,0.051668108469925,0.598235326496549,NA,0,0.346749627405301,NA,0.0727640473985565,0.480122445106866,0.264857033037203,NA,0.024656231976859,0.119664127403601,NA,NA,0.0575425714431742,0,0.0755918604182375,0.979824443551993,NA,NA,0,0.594137171552637,0.00654622393099422,0.0128830293689993,0.0129393286235394,0.0516451558087252,0,NA,NA,NA,0.0280553769247009,NA,NA,0,0.0466365191671335,0.0246324487801061,NA,0.0565256732387707,0.00493002748966099,0.0157323958020462,0.0373128200105535,0.0106741610524222,0.0720330928154315,0.102163316203977,NA,0,0.0517594562466841,0,0.0206401757942821,NA,0.142261570475239,NA,NA,NA,NA,NA,0.0222218550009123,NA,NA,NA,0.0284353135684278,NA,0.008657390730096,0.0166432977414714,0.0220931067837674,0,0.0246898666667288,NA,0.0112394974618038,0.0808248099063453
"OUT",2012-01-31,2012-04-13,0.803718568590397,1.09163556271307,0.972718385200706,0.88006051696339,0.9982060719978,0.910112459637272,0.916182398769245,0.891868587157117,0.841569373416328,0.825018668194521,0,0,0,0.184618515969902,0.137578020690567,1.11697598716741,2.16364023941768,0.0725586046152401,0.592867673457748,0.131802438316616,2.68505977425189,0.183283090697396,0.105872558439939,4.62535995395759,0.391022266867043,0.0104296767462336,0.699271612393456,1.94891975311707,1.90827652366386,4.70756893796628,0.668937638464006,3.89697187424822,2.08908266365441,1.28551767527519,NA,0.0806016616687206,0.317636214935572,0.670004942649725,0.302087018904036,3.58161579622371,1.30956377062503,0.0211558334278005,0.107353717668636,NA,0.459684329196121,NA,NA,1.37375901006157,0.31691421134092,0.863552685962333,0.210716749497025,3.33531388850767,0.721440753345882,0.300568161626263,0.811672931252126,2.19776631062459,0.769295818581832,0.239321772796418,4.62159259327033,0.0114091423147472,0.105560638813191,0.659961377707994,NA,NA,0.288873317248382,0.418615643466092,2.99576702041914,0.0785865501723739,1.49324580011577,1.48570187860932,0.0491830329729784,0,NA,NA,0.0646757852768051,0,NA,NA,0,0.300189897610889,0.0552566274671401,0.655511357651061,0.245332039260797,0.510089052600228,0.80052036844958,NA,0.0372026047369598,2.09238617335349,0.386851713270047,0.344401410184567,0.0290216464148253,0.00916624300240047,2.10823819339074,0.0334980818059396,NA,0.840805281075677,0.118981795894431,0.0129651562061316,NA,0.349846270365297,NA,0.0719444942408697,0.0410453003661903,1.80788456300678,NA,NA,0.0457496320672209,NA,0.03487355498845,1.00513900984019,NA,0,NA,NA,0,0.000528255470558604,0.207244022451035,1.60218003042413,0.0695418397576252,0.0367137523598218,0.648668026921275,0,0.151860187492493,0.753748884251276,0.341415611366558,0.0724081115377223,0.0290292164963886,0.272271639502846,NA,NA,0.0875051409570483,0,0.199198761785923,1.68253225483667,NA,0.00345796197365092,0,1.36194628113542,0.0217603054747864,0,0.0896639273767827,0.141982194090639,0,NA,0,0,0.0771516078170529,NA,0.0264521384865807,NA,0.183562320626261,0.0834381890035161,0.0625542801521758,0.245299959486678,0.0161721165692949,0.0533415802512173,0.170504548131454,0.0837884915575234,0.238365889605359,0.607762008984263,0,0,0.213069191564459,NA,0.0790705158032956,NA,0.67250740192518,0,NA,0.0440568575920438,0,NA,0.169591274500808,0.0539587309743325,0.10756719154291,0.0820877509660608,0.396933184398589,0.0963100402500789,0.0878030842926536,0.181606094798997,0.254179621856231,0,0.274989122842492,0.0568945906524665,0.13374683773773,0.448521088082009
"OUT",2012-04-13,2012-07-17,0.766364798200328,1.2944268096373,0.965960020294521,0.973267204748576,1.01097325698738,0.970450394988277,0.934244203495679,0.891692808796138,0.872140259117875,0.833544079693202,0,0,0,0.633762242835775,0.291846530189646,2.1602962730056,3.84161358713355,0.224609017440445,1.85435822863865,0.345325968756471,7.42704449306337,0.475178352435554,0.132825337803681,29.6106454412991,1.27157630041888,0.0415526202391683,2.33752321230044,4.24675898778572,3.95255411011985,9.58024861686867,1.03364695733554,9.19189325410797,5.80247252376981,3.14531892422929,NA,0.138291142108144,0.674269572795129,1.52326995862685,0.564711733264914,8.96059007197368,2.47175595170788,0.0403806312443651,0.14336259614711,0.0416973037421746,0.87274709890963,NA,NA,2.26692458671271,0.599547609734847,1.48051095148397,0.412526273270725,7.20558886916343,1.31146926440055,0.465205033960242,1.47396991897821,4.4699084508672,1.29003753597594,0.335491533118787,13.6490982511185,0.014856853127177,0.224214943752471,1.10666043544714,NA,0,0.495947898359671,0.708603741638074,7.30789265021724,0.135286936028841,2.81718609814833,2.56975416286573,0.0866901766801658,NA,NA,NA,0.0518110095776062,NA,NA,NA,NA,0.425602580757686,0.18588784398215,1.93011212718058,0.52436927937675,1.2644188831418,1.88999336369234,NA,0.0780477374820672,6.16004485243975,0.965746217720202,1.02595280518523,0.0851993204413422,0.0286013806581242,7.13899268612016,0.0622697132909222,NA,2.21479690699249,0.229483122509103,0.0505478284001206,0.00564497109047143,0.47847209339782,NA,0.103366703848148,0.0951280557570696,4.07284210418088,NA,NA,0.0540830383150991,NA,NA,1.77846180553016,NA,NA,NA,0.0645314631321255,NA,NA,0.197865322007394,1.88314855067536,0.111732277651733,0.0366799580011624,1.01816037756779,NA,0.255598953565315,1.42944867648689,0.82138677755787,0.0968540262379699,0.049171209206639,0.430792689893927,NA,0.0221569931399009,0.196717114331469,0,0.264420283114473,2.99908318785811,NA,0,0,1.85785260085448,0.0244757679064335,0.034269596406912,0.0625916654050305,0.193319746083326,NA,NA,NA,NA,0.109535232028621,0,NA,NA,0.0995369493052609,0.050264181662504,0.0309797888612105,0.18624165220968,0.0148750534691378,0.0742061603536988,0.10593337043749,0.0599879467872137,0.280141821369536,0.263664920320156,NA,NA,0.177061528318364,0,0.0396876143847308,NA,0.461384517299516,0,NA,NA,NA,0,0.035114554489691,NA,0.0245233958301933,NA,0.0746489323401666,0.0695837478569783,0.0348833545212991,0.0763434382973141,0.0519526338479743,NA,0.021347447536353,0.0106743227694224,0.0199042094410641,0.0862565271834155
"IN",2012-04-13,2012-07-17,0.792093721851723,1.13328430599667,0.98265083211194,0.897544528839969,1.01956431764371,0.945148288920457,0.948907428327996,0.874735391299463,0.872856575218609,0.836013226748377,0,0,0,0.132726174485629,0.056158020573186,0.89572354630739,1.13402640088614,0.0430857373941053,0.360476206557902,0.0714414406133027,1.68767249104761,0.109586119368529,0.0490670381124969,3.44740978018641,0.231626572668123,0.0141397845059142,0.659492144221439,1.94990820666705,1.6611598016689,4.1714475334289,0.478602165946921,5.10539762099591,2.83470642628266,1.79196222481504,NA,0.0682704080385996,0.363730628992616,0.755191655318438,0.267962319799472,4.58248410382859,1.3313267951435,0.0121946503792436,0.104928465422735,NA,NA,NA,NA,2.19968195097634,0.540988860949014,1.32380611820971,0.318223266422644,5.03188743592897,1.01643938453243,0.369080547797234,1.16927200064072,3.0467386937312,0.908549776471546,0.246327627259775,6.63063485366016,0.00984803349612271,NA,1.25323917839749,NA,NA,0.430335256468954,0.817319700074054,5.60637606445709,0.128781154941726,2.36450805556205,2.71675572969357,0.0694086479906283,NA,NA,NA,0.112721187135215,NA,NA,NA,NA,0.460607974924294,NA,1.09217979891608,0.550243540389335,0.734143920627288,1.62027248403879,NA,0.0608105396364298,3.731607632327,0.637831917903085,0.614927468394683,0.0753636344886155,0.0195548691464311,3.40175992560078,0.0495454745297038,NA,1.58664103207643,0.149392222140674,0.0201593007472248,NA,0.67795158171242,0.000587142936003382,0.136240115374804,0.08503174543651,3.56220163752713,NA,NA,0.0648370415194812,NA,0.0706699966383923,2.01558908763655,NA,NA,NA,0.0408792490132854,NA,NA,0.329101402166989,2.78806671666595,0.164408363423377,0.0503098567705519,1.14876284433825,0.0352457017289712,0.316775737225812,1.29294267898691,0.580136995521242,0.131943182902033,0.072041829983068,0.544287381345323,0.00068533289042633,NA,0.171491458256472,NA,0.368377053096932,3.04108259796346,NA,NA,0,2.43946645729387,0.0348883865685827,0,0.127964561839339,0.23554019034305,NA,NA,0,NA,0.14469543949054,NA,0.0411906763789765,NA,0.232689777447166,0.129459003528975,0.0795885987931663,0.453879917706817,0.0261638743664784,0.0780689045271116,0.275248624401685,0.182205707454329,0.483706133136631,0.95430583378691,0,0,0.415038618134301,NA,0.0896039628584746,NA,1.33672578998354,NA,NA,0.0526078286089162,0.0172570536649281,NA,0.161605929564575,0.0692847904493143,0.174757877813502,0.12684354621793,0.625005530824553,0.153192175771047,0.150045527456293,0.41600326660614,0.396473867304746,NA,0.218704846750233,0.0699750258227271,0.160131764300982,0.218583583469367
"OUT",2012-01-31,2012-07-12,0.781353465186472,1.10695344025855,0.974507831480475,0.85948008934022,1.05144231394209,0.937389727471078,0.937420751200066,0.896289278857742,0.827796825135024,0.810585986298439,0,0,0,0.24749451434676,0.0512004308600115,1.83476403597173,1.32127889464158,0.0469617688199445,0.313177649378458,0.0708640001918887,1.5023354466477,0.0852197608958917,0.0580569065108429,3.84276131311698,0.401680695094122,0.0098910008434891,0.837211830704229,2.10158725705396,1.43224248814737,3.56971963248959,0.399400047377548,5.96683618754849,3.72628849746828,2.54108755306193,NA,0.0710908696592233,0.42450548225915,0.897328197664809,0.292732409095288,5.39774370535482,1.35358332773772,NA,0.170225970915298,NA,1.01491391049131,NA,NA,2.53909042521725,0.544756356397765,1.55442762219704,0.430134731833799,7.03260031548549,1.11888637880943,0.497410398296699,1.25314851841224,4.40055393921356,1.1925177435963,0.366685293737157,12.5991737804948,0.0208751469189891,NA,1.35110051170549,NA,NA,0.516324116441012,0.785728070700425,8.22370080600863,0.148620123569071,3.05915534586579,3.38617846484654,0.123548941405781,0.0319645006592054,0.0403898894106892,NA,0.224228831189237,NA,NA,NA,NA,1.10151665182866,NA,2.67562719264692,1.33046221721737,2.24434217735641,3.70474261057433,NA,0.090478189626664,10.1390096453207,1.46191901996642,1.57163787269683,0.151803005185228,0.0468347618347718,9.80547634376909,0.0948536178391843,NA,4.02359832008407,0.314236403999369,0.0540168141254684,0.000165036042563674,2.05498720925613,NA,0.349290002046204,0.237083609407227,9.60676410501856,NA,NA,0.208654200938611,NA,NA,6.07753978983176,NA,NA,0.164782549808598,0.148957307058944,NA,NA,1.17193109292994,10.3971099501455,0.570139654852497,0.150238608746731,3.96706439277165,0.138725396919456,0.899637799986712,4.4771149338268,1.92260168946666,0.538861846282614,0.169942675320242,1.97511965514236,NA,NA,0.574162675735409,0.00477079444710024,1.21721885314387,10.4319636076035,0,0.0174870860073517,0.0086106696838214,8.80383994531439,0.119163864357254,0.00772863846151765,0.620406216880362,0.96702553807436,0.0402087149365487,NA,NA,NA,0.534512856700873,0,0.205977700918224,0.030548207121208,1.08547353189826,0.482901748797165,0.271781916578008,1.5240963518248,0.106290592541741,0.305604369696708,0.972898939769941,0.477934934054789,1.36617244927552,3.41607076893018,0.0240621776577844,0,1.24055514381281,0,0.271604903356339,0,3.38189493066322,0,NA,0.224893631257654,0.0733212840529133,NA,0.669316552669482,0.232124441940992,0.49977665478885,0.133136054337666,1.31809432652943,0.217428867615947,0.279757041361515,0.552279500294194,0.890870810886883,0.0353462329135723,0.889741055785308,0.13887540872445,0.375586344287672,2.14444446038287
"IN",2012-01-31,2012-07-12,0.778792869484272,1.41746976872883,1.08444720124405,1.07634721128666,1.15881314398755,1.00646331152648,0.990213257270797,0.976363687583825,0.867579574624417,0.852801413343617,0,0,0,8.06735590278547,2.24809536544446,11.1984657131022,10.5293986719316,1.07171134401747,6.10488915989611,1.80154437833294,24.8604692290747,2.1343208900816,0.492719907949302,89.4470718122266,3.16244636530828,0.0865929987915008,6.35136020015482,10.6294835311142,9.89982426095273,24.0301361583324,2.42417734423448,23.0760319039908,14.9242766231824,8.32575937430278,0.0630755503975782,0.295634742769017,1.7229870576304,3.86520435081301,1.372372724251,25.2694866524368,6.10392627556509,0.083797956351799,0.693841761274886,0.217762285817268,3.44589739249044,0.0668586714627362,0.0675935349572374,11.045581900321,1.3629939342621,6.309788832244,1.53958050707666,63.2316554278406,3.50495547576539,1.30389914312223,4.74787328457957,39.8361340361268,6.01926477188117,0.838266702519256,179.555450953542,0.0355420607272789,NA,9.24721103060549,NA,NA,1.35422898855665,4.63414885316865,99.0366906976091,0.868850243875904,22.2072262105043,26.647037920098,0.28018985614009,0.110427982789892,0.0892812571948213,NA,0.265559659350284,NA,0.110190348334018,NA,NA,9.88589306202783,3.52898611339149,35.282098122397,12.1244008047867,25.430808921813,40.3102172389656,NA,0.837258942475732,106.686576811311,17.4895538164435,16.9577490790105,0.834682172934683,0.44620608401016,112.026449663197,0.779371660148973,NA,46.2119344883408,3.11727851690961,0.557869372365411,0.0171172752331238,14.2409430549998,NA,2.37462901080511,1.67326964319622,89.3563354253894,NA,NA,1.1552654381115,NA,1.94697480370448,49.9981728847598,NA,NA,0.720995831149883,0.870476492806959,NA,NA,4.1270726426054,39.8505678250087,2.14368363134405,1.08797481847429,19.0480871004983,0.419036216386713,4.41790699206325,14.6137913806705,9.76216844282263,2.65946999726104,1.46244068478305,5.45586715724073,NA,NA,2.41161851770763,0.0463273627086466,3.9646714218874,42.0428601014024,0.0224119776383751,0.107368957434978,0.106398831034163,27.9121483597579,0.474031723090521,0.196249915142311,1.6883945333417,3.70553067242922,NA,NA,NA,0.0871488091971943,1.70106226152599,NA,0.601340178956622,NA,1.09974599750311,0.436964648175907,0.139453849186434,0.843009926808354,0.0817199195337371,0.338707014919094,0.610726945169739,0.276044310685756,0.950894495295602,1.20405217094688,0.0416004488835509,0,0.858871196224695,0.0715508460343374,0.13411371387039,NA,1.45453788774799,0,0.0747232660686845,0.103672011433283,0.0295086468828362,NA,0.0630324778595513,NA,0.0647143632131176,NA,0.148463055841651,0.0753607227392859,0.0554261233655801,0.100996692493332,0.0944677634973806,NA,0.0370858142701615,NA,0.032199990551816,0.0741242611983033
"IN",2012-01-31,2012-07-12,0.64967494274478,1.12195187222377,0.95399654795943,0.804210877115576,1.06379471201329,0.858070140321962,0.851721992303091,0.774778669986284,0.7287043419929,0.70762700356963,0,0,0,0.515401671810536,0.511131836616631,1.88532740536703,3.17491846169513,0.174600314448364,2.16737480021931,0.360976811215435,5.92689830578045,0.368754057033076,0.112493532027318,28.0239856442856,0.947835718616576,0.0747339580102212,1.44554365813509,3.12111503583664,2.98819582246519,7.37448208376676,0.917653357327188,6.00286640604726,3.65487606002179,2.00812736919177,NA,0.113815203893587,0.447992212648028,0.99914667713839,0.437370314347954,5.743019543193,1.76093260699033,NA,0.302214799091875,NA,0.614860478980522,NA,NA,1.45341055766521,0.406692191425151,0.979831875806363,0.272402589972591,6.14139585566503,0.760620030825907,0.302038535859154,0.921748441762888,3.78516311406087,0.921519741670979,0.266598268369025,15.7807808380818,0.0130499142349199,NA,0.871651911893305,NA,NA,0.296115842906079,0.533356405833681,6.31274615225831,0.0933770635567686,2.05815071789664,2.02565644540832,0.0656888846734361,0.0432945179924149,NA,NA,NA,NA,NA,NA,NA,0.70135104073039,NA,2.1415273151201,0.524263836009954,1.37242387980214,2.10529262026518,NA,0.0658255723205341,6.63728968527037,1.09874590137215,1.11077780684054,0.102166457319422,0.0398375818569923,8.42062165489794,0.0706216554229589,NA,2.30166986671693,0.238376370013772,0.0561005221890505,0.00917107131521128,0.602809634392666,NA,0.125756638442565,0.136279428412337,4.50723230113929,NA,NA,NA,NA,0.128096636476958,2.02844849124977,NA,NA,NA,NA,NA,NA,0.209057267176259,2.01297876139456,0.116555113153724,0.0545436477651358,1.0231249186109,NA,0.197489664113226,1.29668007110455,0.838339423839651,0.119228154254569,0.0782737410980111,0.332777257351501,NA,NA,0.229176950835666,NA,0.377774327160222,3.02610473146958,NA,NA,NA,1.8582795945663,0.0264740325654734,0.158499803955288,0.0722729006087683,0.170650299981307,NA,NA,NA,0.0240298163317848,0.0867867967435262,NA,NA,0,0.202888511403382,0.0781626895480806,0,0.173110211649768,0.0209408625139275,0.0749696914130248,0.141112187640141,0.0622469980480747,0.32741730012951,0.303332839528871,NA,NA,0.190757617140961,0.0629372452461629,0.0520475832513457,NA,0.523126359459108,NA,0.0763392836462777,NA,NA,NA,0.0444309229714653,0,0.0377254130303926,NA,0.150180997606177,0.0761142114657304,0.048805853692208,0.114403457423706,0.0780149879657161,NA,NA,NA,0.0314526118383199,0.086508289583715
"OUT",2012-01-31,2012-07-12,0.598255109105752,0.905030497171464,0.861765782674799,0.829579697448952,0.952269166986587,0.867575826056679,0.877024692249392,0.855629260242555,0.799384000277856,0.770922625935204,0,0,0,0.100315789837911,0.0403076982797776,0.85656556826103,1.01795964273559,0.046959345581702,0.334429512478992,0.0596835808118193,1.63686799730757,0.0866701969578851,0.0519009874912219,4.11625407393801,0.310237780578392,NA,0.624682214729948,1.80264831013917,1.56143970811097,3.8247420079111,0.483525948052698,4.06368986201669,2.27618907483535,1.43073609742326,NA,0.0818178834436287,0.321033652375323,0.677364540734618,0.282204245833372,3.55660068578868,1.20260470394034,NA,0.115361096784018,NA,0.581614065077517,NA,NA,1.52524274367615,0.357392332931407,0.952946548870515,0.26082109488067,3.99625664592147,0.790257800715698,0.321246218928969,0.779431289266948,2.47962999360593,0.794821857603024,0.249954243095883,6.51649387966751,0.0130527887829936,NA,0.747647370275659,0.0275157570930933,NA,0.348402656049588,0.466457972559499,4.13828838324176,0.0783015958559426,1.81898296328153,1.70711634832768,0.0638748172814604,0.0170512627394336,0.0232411303065109,NA,0.0840004471498715,NA,NA,NA,NA,0.498486252294456,NA,1.35954280121993,0.473958092986029,1.02269088699311,1.67663406680085,NA,0.0481436348016669,4.48189209403676,0.679398280722698,0.731393418331305,0.0643127463584545,0.0134975243468226,4.61415532140458,0.0475086685978983,NA,1.70214686346548,0.151052339143536,0.0334915133022058,0,0.634475712787245,NA,0.135192437726712,0.0767565999996922,3.97616565275855,NA,NA,NA,NA,0.0952111010983114,2.20707475950877,NA,0.000228433950577899,NA,NA,0,NA,0.441969058858527,3.712502788395,0.206121032847154,0.0789883411909055,1.5531474049752,0.00164445221373531,0.381384101239816,1.97392381190585,0.828652211825448,0.185529010129049,0.0643215289892565,0.772016412881394,0.000608812576350295,0,0.252335195307269,0,0.495270694855229,4.05303106061564,NA,0.000181455683526286,NA,3.43476246138508,0.0403767003336729,NA,0.163005664098987,0.363467885203551,0,NA,0,0.000322596138177746,0.196901523499977,NA,0.0759865123958367,0.00101337323316476,0.357336459863227,0.187050077356523,0.117020097976293,0.725941947020761,0.0422870990730804,0.165218463402033,0.421915223633148,0.288665961964325,0.890078872123523,1.70845992245625,0,0,0.737395604153838,0,0.182787722199083,NA,2.6918193950073,0,0,0.0844621417866187,NA,NA,0.342319877629381,0.110277715243207,0.341418422296752,0.118496777804515,1.14386093337368,0.269824385015103,0.305987629638009,0.76795679105108,0.764876241143607,NA,0.359560172080499,0.0938989580033014,0.223524953079257,0.140062677166707
