"date","TA","Pr","WS","WD","QV"
2012-01-01 01:00:00,277.05,101160,6.7,160,0.00610572744358867
2012-01-01 02:00:00,277.05,101050,6.2,160,0.00611237319202423
2012-01-01 03:00:00,277.55,100980,6.7,160,0.00640267043636212
2012-01-01 04:00:00,277.55,100880,7.2,170,0.00640901646319471
2012-01-01 05:00:00,277.55,100690,5.7,160,0.00642110863682876
2012-01-01 06:00:00,278.75,100510,7.2,180,0.00687101252769979
2012-01-01 07:00:00,278.75,100340,7.2,170,0.00688265189950899
2012-01-01 08:00:00,279.25,100180,6.2,180,0.00721154687020763
2012-01-01 09:00:00,279.25,100050,4.6,180,0.00753829630636851
2012-01-01 10:00:00,279.85,1e+05,4.1,200,0.00824858982979769
2012-01-01 11:00:00,279.85,100010,9.3,240,0.00824776520311407
2012-01-01 12:00:00,278.75,100080,7.2,250,0.00746553581457559
2012-01-01 13:00:00,278.15,100250,6.2,270,0.0070586882413661
2012-01-01 14:00:00,275.95,100550,11.8,300,0.00491179017819032
2012-01-01 15:00:00,275.35,100790,9.3,290,0.00463513872009753
2012-01-01 16:00:00,275.95,100920,10.8,290,0.00489378395950712
2012-01-01 17:00:00,277.05,101020,10.3,270,0.00477806468062982
2012-01-01 18:00:00,275.95,101050,11.3,270,0.00353146269757443
2012-01-01 19:00:00,274.25,101190,11.8,290,0.0025280112384368
2012-01-01 20:00:00,273.15,101310,11.8,290,0.00238355848745419
2012-01-01 21:00:00,273.75,101450,9.3,270,0.00231518317607033
2012-01-01 22:00:00,273.75,101630,11.8,280,0.00231108295689011
2012-01-01 23:00:00,273.75,101710,9.3,280,0.00230926529531798
2012-01-02,273.15,101840,9.3,270,0.00246316515009875
2012-01-02 01:00:00,272.55,101890,8.8,280,0.00223895375185473
2012-01-02 02:00:00,272.55,101910,11.3,280,0.00205749633916188
2012-01-02 03:00:00,272.05,101890,9.8,270,0.00213484821308098
2012-01-02 04:00:00,272.55,101870,9.3,270,0.00213893527196636
2012-01-02 05:00:00,272.05,101850,7.7,280,0.00196298375591389
2012-01-02 06:00:00,272.05,101850,8.8,280,0.00172045805083179
2012-01-02 07:00:00,271.45,101860,8.8,290,0.0016243319495338
2012-01-02 08:00:00,270.35,101940,8.2,290,0.0013390849802982
2012-01-02 09:00:00,270.35,101930,8.2,300,0.0013392163483903
2012-01-02 10:00:00,269.15,101930,7.7,290,-0.00153460158931792
2012-01-02 11:00:00,268.75,101990,8.2,290,0.0012485408463697
2012-01-02 12:00:00,267.15,101990,7.7,310,-0.000921525334745603
2012-01-02 13:00:00,267.15,101990,7.7,290,-0.000997494252938607
2012-01-02 14:00:00,266.45,102180,7.2,300,0.000954279007667688
2012-01-02 15:00:00,266.45,102260,6.2,310,0.000833633618553282
2012-01-02 16:00:00,267.05,102310,10.8,310,0.000884609618566451
2012-01-02 17:00:00,267.55,102340,10.3,330,0.000810885352568413
2012-01-02 18:00:00,268.15,102330,11.3,320,0.000826354220745466
2012-01-02 19:00:00,267.55,102350,9.3,330,0.00074152977295009
2012-01-02 20:00:00,267.55,102430,9.8,320,0.000711270489190729
2012-01-02 21:00:00,267.55,102530,9.8,330,0.000710576785671702
2012-01-02 22:00:00,267.55,102640,8.2,330,0.000739434695786639
2012-01-02 23:00:00,267.05,102750,9.3,320,0.000738041543617393
2012-01-03,267.05,102830,9.8,340,0.000674194110072626
2012-01-03 01:00:00,267.55,102880,8.2,340,0.00073770977081484
2012-01-03 02:00:00,266.45,102960,6.2,310,0.000660696517283868
2012-01-03 03:00:00,265.95,103020,7.2,320,0.000628045335766792
2012-01-03 04:00:00,265.95,103040,7.7,320,0.000602770801439663
2012-01-03 05:00:00,265.35,103030,6.2,330,0.000540200319917892
2012-01-03 06:00:00,264.85,103080,6.7,330,0.000539250643298273
2012-01-03 07:00:00,264.85,103110,6.2,320,0.00051316395504753
2012-01-03 08:00:00,264.25,103150,5.7,320,0.000482625560310061
2012-01-03 09:00:00,263.75,103130,4.6,330,0.000458697609867296
2012-01-03 10:00:00,263.15,103060,5.1,320,0.000410746054044791
2012-01-03 11:00:00,262.55,103110,3.1,300,0.000405526702962905
2012-01-03 12:00:00,262.55,103110,3.1,290,0.000405526702962905
2012-01-03 13:00:00,262.55,103130,3.6,300,0.000405448059904486
2012-01-03 14:00:00,262.55,103150,3.1,280,0.000405369447342364
2012-01-03 15:00:00,263.75,103180,2.6,290,0.000458475332145834
2012-01-03 16:00:00,264.85,103210,3.6,300,0.00051266675833713
2012-01-03 17:00:00,265.95,103180,2.6,280,0.000545297222191284
2012-01-03 18:00:00,267.05,102980,3.1,250,0.000585061438377096
2012-01-03 19:00:00,268.15,102850,3.6,240,0.000653215808155431
2012-01-03 20:00:00,268.75,102730,3.1,220,0.000723111257353494
2012-01-03 21:00:00,269.25,102650,2.6,210,0.000693496041273661
2012-01-03 22:00:00,269.85,102540,4.1,180,0.000806579631858499
2012-01-03 23:00:00,269.25,102470,4.6,180,0.000875470717586179
2012-01-04,269.25,102370,4.1,160,0.000920172003744249
2012-01-04 01:00:00,269.25,102160,7.7,160,0.00100773740544458
2012-01-04 02:00:00,269.85,102140,6.7,190,0.00116691415630588
2012-01-04 03:00:00,269.85,102020,8.2,200,0.00121563396214638
2012-01-04 04:00:00,269.85,102060,5.1,200,0.00121515753951773
2012-01-04 05:00:00,269.85,102010,5.7,200,0.00127482844890708
2012-01-04 06:00:00,269.85,101860,5.1,190,0.00127670570893727
2012-01-04 07:00:00,269.85,101790,4.1,190,0.00127758365698096
2012-01-04 08:00:00,269.85,101770,4.6,190,0.00133960018761749
2012-01-04 09:00:00,269.85,101720,3.1,190,0.00134025863933023
2012-01-04 10:00:00,270.35,101570,4.1,190,0.00146518098602995
2012-01-04 11:00:00,270.95,101490,4.6,200,0.00155377528678166
2012-01-04 12:00:00,270.95,101560,2.6,220,0.00155270439515779
2012-01-04 13:00:00,270.35,101560,2.1,220,0.00153547454369741
2012-01-04 14:00:00,270.35,101610,2.1,240,0.0015954145773234
2012-01-04 15:00:00,272.05,101640,4.1,250,0.0018779918117489
2012-01-04 16:00:00,274.25,101600,4.1,270,0.00231321280064043
2012-01-04 17:00:00,275.95,101580,5.1,290,0.00271026045903991
2012-01-04 18:00:00,277.05,101440,3.1,250,0.00314546270025001
2012-01-04 19:00:00,278.15,101400,3.6,250,0.00378478937460862
2012-01-04 20:00:00,278.75,101460,7.2,280,0.00434177478404335
2012-01-04 21:00:00,277.05,101530,4.6,300,0.00371708606636488
2012-01-04 22:00:00,276.45,101600,5.1,300,0.003515413458645
2012-01-04 23:00:00,276.45,101710,4.6,280,0.00367414178714847
2012-01-05,275.35,101800,3.6,280,0.00331590158149302
2012-01-05 01:00:00,274.85,101840,4.1,300,0.00316389768799837
2012-01-05 02:00:00,273.75,101880,2.6,290,0.00272679051080028
2012-01-05 03:00:00,273.75,101900,3.6,300,0.00250774960025931
2012-01-05 04:00:00,273.15,101890,1.5,270,0.00226367452429205
2012-01-05 05:00:00,272.55,101860,2.6,270,0.00223961313696906
2012-01-05 06:00:00,272.55,101800,3.6,260,0.0022409330730413
2012-01-05 07:00:00,272.05,101790,2.6,240,0.00213694541481235
2012-01-05 08:00:00,272.05,101790,1.5,220,0.00213694541481235
2012-01-05 09:00:00,271.45,101810,1.5,230,0.00201735089939577
2012-01-05 10:00:00,270.95,101740,2.1,220,0.00192403606309455
2012-01-05 11:00:00,270.95,101650,3.1,210,0.00200046611558462
2012-01-05 12:00:00,271.45,101580,2.1,220,0.00202191842976732
2012-01-05 13:00:00,272.05,101600,2.6,220,0.00222401878928894
2012-01-05 14:00:00,272.55,101520,3.1,210,0.00255597587737026
2012-01-05 15:00:00,274.25,101490,4.6,220,0.00311642807842039
2012-01-05 16:00:00,275.95,101460,4.1,240,0.00381913229835431
2012-01-05 17:00:00,277.55,101380,6.2,240,0.00459476161359278
2012-01-05 18:00:00,278.75,101300,5.7,250,0.00512767578351953
2012-01-05 19:00:00,280.35,101150,6.2,240,0.00643039482647346
2012-01-05 20:00:00,280.95,101090,5.1,250,0.00678705802258147
2012-01-05 21:00:00,282.05,101040,5.1,230,0.00782046964812758
2012-01-05 22:00:00,282.05,101030,4.6,230,0.00782124352557896
2012-01-05 23:00:00,280.35,100950,3.6,200,0.00673307430698118
2012-01-06,280.35,100920,3.1,210,0.00698554820806281
2012-01-06 01:00:00,280.35,100890,3.6,210,0.00698762498088317
2012-01-06 02:00:00,280.35,100840,4.6,210,0.00699108901434608
2012-01-06 03:00:00,280.95,100780,3.6,220,0.00737886425273419
2012-01-06 04:00:00,280.35,100780,3.6,220,0.00699525039075101
2012-01-06 05:00:00,281.45,100710,4.6,220,0.00771841584132952
2012-01-06 06:00:00,281.45,100630,6.2,230,0.00772455049211729
2012-01-06 07:00:00,281.45,100590,6.7,240,0.00772762147586246
2012-01-06 08:00:00,279.85,100630,3.6,220,0.00669950533587511
2012-01-06 09:00:00,280.35,100590,3.6,240,0.00700846082729802
2012-01-06 10:00:00,279.25,100590,2.6,230,0.00635072780415131
2012-01-06 11:00:00,279.25,100620,4.1,230,0.00634883463621145
2012-01-06 12:00:00,279.25,100660,3.1,230,0.00634631216737489
2012-01-06 13:00:00,278.75,100650,2.6,220,0.00606715210973007
2012-01-06 14:00:00,278.75,100680,5.7,240,0.00606534453138184
2012-01-06 15:00:00,279.25,100720,5.7,230,0.0063425322201593
2012-01-06 16:00:00,280.95,100700,4.6,230,0.00771396810016685
2012-01-06 17:00:00,282.55,100670,4.6,240,0.00927995948812933
2012-01-06 18:00:00,283.15,100590,5.1,240,0.00978753882542419
2012-01-06 19:00:00,284.25,100490,2.6,250,0.0111745236207583
2012-01-06 20:00:00,285.35,100480,2.6,230,0.0122856276452617
2012-01-06 21:00:00,285.35,100510,4.1,230,0.0122819622116069
2012-01-06 22:00:00,284.25,100610,4.1,250,0.0111612002641032
2012-01-06 23:00:00,283.15,100660,2.6,250,0.0101393286368437
2012-01-07,283.15,100670,1.5,220,0.0105839310641912
2012-01-07 01:00:00,281.45,100730,2.1,240,0.00911075420259499
2012-01-07 02:00:00,281.45,100750,2.6,280,0.0091089460355516
2012-01-07 03:00:00,280.95,100760,2.6,300,0.00871340844776522
2012-01-07 04:00:00,280.95,100760,5.1,300,0.00770937561458901
2012-01-07 05:00:00,280.95,100830,4.6,300,0.00655838161114761
2012-01-07 06:00:00,280.35,100880,8.2,310,0.00594433869905419
2012-01-07 07:00:00,279.25,100950,6.7,310,0.00538273694408185
2012-01-07 08:00:00,278.75,101050,4.1,280,0.00495271590796397
2012-01-07 09:00:00,277.55,101100,3.6,270,0.00443929351199671
2012-01-07 10:00:00,276.45,101140,4.1,260,0.00401203594145232
2012-01-07 11:00:00,275.35,101240,3.6,270,0.0036204747015741
2012-01-07 12:00:00,274.85,101360,2.6,270,0.00330045058945671
2012-01-07 13:00:00,273.75,101460,3.1,270,0.00297436533407816
2012-01-07 14:00:00,273.75,101520,3.1,270,0.00297260755190251
2012-01-07 15:00:00,275.35,101630,4.6,280,0.00360658251515817
2012-01-07 16:00:00,277.05,101740,5.1,290,0.00421427840062516
2012-01-07 17:00:00,277.55,101790,4.1,270,0.00457625665829276
2012-01-07 18:00:00,278.75,101750,5.7,300,0.00491864827727237
2012-01-07 19:00:00,279.25,101800,5.7,280,0.00514294865856093
2012-01-07 20:00:00,279.25,101860,3.6,290,0.00533465628136665
2012-01-07 21:00:00,279.25,101940,3.6,310,0.00513588669912067
2012-01-07 22:00:00,278.15,102050,4.1,330,0.00444117595182434
2012-01-07 23:00:00,276.45,102130,3.1,310,0.00379896767650162
2012-01-08,275.95,102190,1.5,300,0.00362561918585324
2012-01-08 01:00:00,275.35,102260,2.1,330,0.00330098682007739
2012-01-08 02:00:00,273.75,102300,1.5,280,0.00284128365738576
2012-01-08 03:00:00,273.75,102370,0,0,0.00283934093263063
2012-01-08 04:00:00,273.75,102390,0,0,0.00283878635627975
2012-01-08 05:00:00,272.05,102460,1.5,300,0.00241477179243808
2012-01-08 06:00:00,273.15,102480,0,0,0.00278272474888112
2012-01-08 07:00:00,272.55,102520,0,0,0.00253104573619008
2012-01-08 08:00:00,271.45,102580,1.5,320,0.00217666552146259
2012-01-08 09:00:00,271.45,102620,0,0,0.002175817122267
2012-01-08 10:00:00,271.45,102630,0,0,0.00217560512579574
2012-01-08 11:00:00,271.45,102650,0,0,0.00207848429587382
2012-01-08 12:00:00,271.45,102710,0,0,0.00207727016401624
2012-01-08 13:00:00,270.95,102720,0,0,0.00197962878247536
2012-01-08 14:00:00,270.35,102780,0,0,0.00195399794087882
2012-01-08 15:00:00,273.15,102860,0,0,0.00289956076967236
2012-01-08 16:00:00,275.95,102880,0,0,0.0040866824830211
2012-01-08 17:00:00,277.05,102870,2.6,180,0.00452239484493503
2012-01-08 18:00:00,277.05,102790,2.1,170,0.00452591416332896
2012-01-08 19:00:00,277.55,102760,2.1,190,0.00453306450726458
2012-01-08 20:00:00,277.55,102740,3.1,220,0.00436843941670748
2012-01-08 21:00:00,277.55,102740,2.6,270,0.00473988750710174
2012-01-08 22:00:00,277.05,102740,2.6,250,0.00452811652019764
2012-01-08 23:00:00,276.45,102750,2.1,260,0.00428497566277222
2012-01-09,276.45,102740,0,0,0.00428539268988043
2012-01-09 01:00:00,275.35,102760,0,0,0.00387022161161312
2012-01-09 02:00:00,274.85,102740,0,0,0.00369497693638635
2012-01-09 03:00:00,274.85,102690,0,0,0.0036967758872909
2012-01-09 04:00:00,273.15,102650,0,0,0.00301557292042034
2012-01-09 05:00:00,273.15,102610,0,0,0.00301674839778414
2012-01-09 06:00:00,272.55,102580,0,0,0.00298027320571757
2012-01-09 07:00:00,272.55,102530,1.5,210,0.00285217515697903
